name,description,hex
Морская Пучина,Тёмно-зелёный,#0c2717
Мулен Руж,Ярко-фиолетовый,#790079
Мурена,Сине-зелёный,#103835
Мускари,Мускари,#0e2a77
Мускат,Серебристо-серо-золотистый,#ccce9b
Нарцисс,Жёлтый,#f1a301
Наутилус,Тёмно-зелёный,#002d00
Невада,Серебристо-серо-бежевый,#ccce9b
Нептун,Серебристо-тёмно-серо-синий,#658b89
Несси,Тёмно-зелёный,#162219
Нефертити,Серебристый-бежевый,#d3cdb6
Ниагара,Серебристо-серо-голубоватый,#a4b6b9
Ницца,Сине-зелёный,#023C41
Одиссей,Серо-синий,#476d85
Озеро Тахо,(УАЗ) Тёмно-серо-зелёный,#1c3937
Океан,Тёмно-синий,#00008c
Оливин,Золотисто-зелёный,#afb086
Оливковый,Желто-зелёный,#594b0c
Олимпия,(GM) Ярко-синий,#325aa5
Опал,Серебристо-голубоватый,#c9cacf
Орион,Средне-стальной,#666666
Орхидея,Серебристо-бежевый,#dedfbb
Осока,Зелено-голубой,#6cc9ad
Папирус,Серебристо-серо-зеленоватый,#54573c
Паприка,Серебристо-красно-оранжевый,#970000
Персей,Тёмно-синий,#142A6E
Петергоф,Серо-зеленоватый,#3d8d87
Пирано,Красно-коричневый,#522929
Пицунда,Зелено-синий,#015255
Платина,Серебристо-бежевый,#DFDCD9
Полюс Мира,Серо-коричневый,#524938
Портвейн,Тёмно-вишнёвый металлик,#4C031F
Посейдон,Тёмно-синий,#0b083f
Премьер,Ярко-жёлтый,#fefe4d
Прерия,Серебристо-серо-зелёный,#8e8a6f
Престиж,Серебристо-тёмно-синий,#0b083f
Приз,Серебристо-бежевый,#ffffc1
Примула,Светло-жёлтый,#f2b258
Рапсодия,Серебристо-ярко-синий,#004f95
Регата,Серебристо-тёмно-синий,#004f95
Реклама,Ярко-красный,#ff0000
Ривьера,Сине-фиолетовый,#330066
Рислинг,Серебристо-бледно-серый,#d2ccb7
Ричмо,(УАЗ) Тёмно-коричневый,#522929
Робин Гуд,Тёмно-зелёный,#000000
Романс,Тёмно-красный,#970000
Рубин,Красный,#7e0004
Садко,Тёмно-голубой,#0073a4
Салатовый,Салатовый,#afb086
Сан-тропе,Ярко-синий,#0033ff
Сандал,Бежево-красный,#693623
Сапфир,Серебристый сине-фиолетовый,#363b5b
Сафари,Светло-бежевый,#e9d1af
Светло-серый,Светло-серый,#eeeeee
Серебристая ива,Серебристый-зеленовато-серый,#d5d3ae
Серебристый,Серебристый,#cccccc
Серо-бежевый,Серо-бежевый,#b38c61
Серо-белый,Серо-белый,#cccccc
Серо-голубой,Серо-голубой,#abc4c5
Серо-зелёный,Серо-зелёный,#99af96
Серое олово,(ИЖ) Серый серебристый,#858585
Серый базальт,Серо-бежевый,#c4b5ab
Синий калипсо,(ИЖ) Тёмно-синий,#3d4274
Синяя полночь,Синий,#000066
Сирень,Светло-фиолетовый,#ddbbff
Сириус,Серо-синий,#658b89
Слива,Серебристо-ярко-синий,#325aa5
Сливочно-белый,Сливочно-белый,#f6d1a4
Слоновая Кость,Бежево-жёлтый,#fffff0
Снежная Королева,Серебристый,#D0D8E2
Снежно-белый,Снежно-белый,#F8FCFD
Совиньон,Серебристо-серый,#57594E
Солярис,Тёмно коричневый,#220000
Сочи,Серебристо-серо-зеленоватый,#1c3937
Табачный,Серебристый коричнево-зелёный,#614925
Талая Вода,Светло-серый,#e2e3d5
Тёмно-бежевый,Тёмно-бежевый,#a49e77
Тёмно-коричневый,Тёмно-коричневый,#4b2525
Тёмно-серый,Тёмно-серый,#797979
Тёмно-синий,Тёмно-синий,#000066
Тёмно-синий,Оттенок тёмно-синего,#000066
Тополиный пух,Серый,#BFBEBD
Торнадо,Красный,#a71122
Триумф,Серебристо-красный,#990000
Тундра,Серебристо-зеленоватый,#999999
Ультрамарин,(ИЖ) Сине-зелёный,#002e3b
Успех,Оранжевый,#C04914
Феерия,(GM) Ярко-красный,#970000
Феникс,Чёрный,#003333
Фея,Серебристо-сиреневый,#a4b5ca
Франкония,Тёмно-вишнёво-малиновый,#880f24
Фрегат,Цвет морской волны,#008080
Цунами,Тёмно-зелёный,#003333
Чайная Роза,Светло-жёлтый,#f2d48b
Чароит,Серебристый тёмно-фиолетовый,#574868
Черешня,Тёмно-алый,#660033
Чёрная Пантера,"Чёрный, двойная эмаль",#161313
Черника,Тёмно-синий,#000066
Чёрный,Чёрный,#040001
Чёрный,Оттенок чёрного,#000000
Чёрный графит,(ИЖ) Серебристо-серо-графитовый,#373737
Чёрный жемчуг,Серебристо-коричневый,#615652
Чёрный трюфель,Чёрный,#161313
Чёрный шоколад,Тёмно-коричневый,#71191b
Электрон,Тёмно-серый,#3a454b
Южный крест,Серо-бежевый,#afa38f
Юпитер,Серебристо-голубоватый,#9abeb7
Яшма,Тёмно-вишнёвый,#4A0206
